period,dY,dC,dI,dw,l,pi,rpi=dlog(Pi/CPI),r,db,rl
1981.01,-0.21672589,0.060479314,2.651856984,0.32875433,165.3337978,0.950377644,-1.752163676,2.147704254,0.741128002,2.059833895
1981.02,0.599157578,0.180398108,-1.016512543,0.405984252,165.4375527,0.950516994,-0.41527932,1.798887542,1.225546537,1.993792872
1981.03,-0.838700061,0.354750446,0.829315597,0.288746225,165.3356965,0.989808667,-0.989808667,1.831604293,1.196305515,1.96225208
1981.04,0.520034757,0.497463303,1.227342562,0.215337081,165.6075769,0.992256157,-0.637015997,1.73144584,1.349814554,1.951560821
1982.01,1.098853071,1.269225253,-0.160167984,0.758324156,165.1143985,0.586558039,-1.030805771,1.67118761,1.08009771,1.883629395
1982.02,-0.32892398,1.091719915,1.437007589,0.719098265,165.0818451,0.554977272,-0.822476317,1.811937621,1.230884547,1.849975965
1982.03,-0.451959557,-0.616461367,-0.797572619,0.805562703,165.0552857,0.780960889,0.019399097,1.798454256,1.148734698,1.843771949
1982.04,0.24504941,2.190586292,-2.261198321,0.253708547,165.0953858,0.675504258,-0.233612244,1.729187539,0.781829773,1.839755667
1983.01,0.237870068,-0.227093477,-0.808912252,0.419228518,165.0198207,0.188800573,-1.074545956,1.677795858,1.777250118,1.836307845
1983.02,0.49905603,0.362902838,2.085791233,-0.139033573,165.2183138,0.270147238,-0.715979452,1.566612532,1.080280774,1.833541003
1983.03,0.647784662,0.944186471,-0.971667729,0.300449934,165.2449204,0.384188974,-0.563079898,1.63357096,1.071958719,1.830819913
1983.04,0.161581851,-0.039368312,0.003114272,-0.026127137,165.5562136,0.70885805,-0.70885805,1.589795878,0.794775778,1.802424616
1984.01,0.932838034,0.617849866,4.308920162,0.813540157,165.3666809,0.499469852,-1.398756488,1.564320932,1.433295666,1.75411529
1984.02,1.248149589,0.273017324,0.601088242,-0.581145359,166.0017836,0.585869393,-0.045327536,1.479954214,0.37496979,1.746878322
1984.03,0.74879181,0.858379632,3.778901912,0.290496464,165.9014112,0.495957437,0.131003865,1.557070862,2.045889679,1.744027079
1984.04,-0.16064793,-0.539573336,4.051239185,0.046683864,166.0474974,0.721956468,-0.276521433,1.574154268,-0.31524169,1.742043877
1985.01,1.604720692,1.118423003,6.524957323,0.32555404,165.7273915,0.533550193,-1.24720175,1.581062526,2.217793541,1.740407694
1985.02,1.372756493,0.956264211,0.63837404,0.896927427,165.5874864,0.320266418,-0.499477936,1.536020886,1.225444693,1.73923735
1985.03,0.611855838,-0.135883663,5.606207124,0.403932531,165.4329561,0.416967713,-0.416967713,1.5967925,1.374385002,1.738300088
1985.04,1.332021316,1.833103403,1.072540776,0.280409093,165.6320982,0.141233306,-0.590672265,1.8600825,1.432914454,1.740115236
1986.01,0.021803832,-0.27415181,-1.035790944,1.06890792,165.20966,0.616618989,-0.887255149,1.5688575,1.227769329,1.720084433
1986.02,0.521702713,0.258222488,1.975965642,-0.212376438,165.640291,-0.080198847,-0.100633029,1.157325,2.498843772,1.598646561
1986.03,0.636441126,1.09813661,0.208255097,1.028979416,165.2105334,-0.169264092,-0.739833078,1.1721175,2.740129671,1.509691239
1986.04,0.456764701,-0.059409963,1.219467705,0.438995147,165.460173,-0.127692397,-0.238273245,1.063025,3.435273266,1.487646855
1987.01,-0.903001166,0.725191806,-1.028525893,0.599025495,165.2990798,0.207239577,-0.666588111,1.04995,1.938388047,1.439361082
1987.02,1.265217005,1.006667373,1.778147489,-0.308538671,165.8361854,0.153255528,-0.799909052,0.8597925,2.527880824,1.362855129
1987.03,1.628811032,0.909991618,3.502917642,0.480978517,165.8395495,0.274114637,-0.181479151,0.8436925,2.289470283,1.331838175
1987.04,2.038391024,1.390459667,1.962967094,0.198385982,166.4464343,0.042191883,-0.042191882,0.9153575,1.963820473,1.329988525
1988.01,2.243470408,0.760168263,3.926112452,2.119822228,165.7720825,0.010002746,-0.381060686,0.9215,2.612360132,1.326632817
1988.02,-0.62748404,1.357211724,3.995685823,-0.192205398,166.1652293,0.046374982,0.046518662,0.8793925,2.07688581,1.324241637
1988.03,1.986480693,0.00950925,5.627503671,0.545935095,166.2494722,0.184474392,-0.370348052,0.99415,1.909956011,1.32972401
1988.04,0.726407578,0.757569462,2.52775906,0.533420917,166.1893909,0.343554417,-0.343554417,1.0397425,2.008067246,1.33271776
1989.01,2.629895083,2.50001871,8.889930342,0.085492566,166.3875009,0.363683732,-0.363683732,1.04394,1.588922769,1.344777681
1989.02,-1.250399967,-1.335878141,-4.633695422,0.043632499,166.8438855,0.577550558,0.256173587,1.18609,2.834719952,1.412855146
1989.03,1.569224053,1.761135602,2.916075201,0.610011304,166.4977469,0.449734458,0.010459633,1.336365,2.664228067,1.532556868
1989.04,2.937023917,2.624074693,4.506578114,0.655001918,166.5282765,0.339039922,0.11904608,1.5507,2.248308514,1.633805269
1990.01,-0.930462087,-0.655414128,0.43149331,-0.510047372,166.889277,0.657662571,-0.292698658,1.6700525,3.768005821,1.795806823
1990.02,2.783871227,3.124441814,3.047774844,0.931887565,166.9264761,0.59872785,0.57828891,1.8155,0.750269396,1.916481338
1990.03,0.965185889,0.447480105,2.7371695,0.410006064,166.8158049,0.666379116,-0.396716036,1.902565,1.530106583,1.96981267
1990.04,-0.476512033,-1.207171253,1.384942348,-0.520718854,167.1397227,1.116325775,-0.579171403,2.0097775,0.239417527,2.063439184
1991.01,0.560282391,0.185319142,2.89475898,0.489922601,166.6451703,0.763232223,-0.584820044,2.0377075,0.680640039,2.099244169
1991.02,0.984147972,1.140127016,-2.923884801,1.237226259,166.0691112,0.425904517,0.107430113,2.0255825,1.143429101,2.078107319
1991.03,-0.642683476,-0.734662062,-0.465931284,0.515427494,165.9758647,0.609103121,-0.166820259,1.83286,0.66002631,2.038706349
1991.04,0.665600026,1.13127352,-0.732340055,0.304432062,165.9153829,0.570281272,-0.482058957,1.62919,0.640014518,1.964217728
1992.01,-0.479579667,0.877298409,-4.313969112,0.533914549,165.2594036,0.58007097,-0.668293285,1.40518,0.58554818,1.840602542
1992.02,0.048715539,-0.730642743,-0.500358649,0.341734903,164.7113583,0.766523043,-0.238352734,1.18869,-0.61646853,1.73993972
1992.03,-0.599338672,-0.382692855,-2.182026308,-0.262190692,164.7779652,0.33306428,-0.68486771,1.0730725,-0.834010685,1.672663071
1992.04,-1.046497459,-0.714313659,-4.276805435,0.051694097,164.7818465,0.328593761,-0.593260912,0.9928725,-1.022983979,1.610836933
1993.01,0.976068975,1.245061086,3.18964632,-0.107957196,164.9916079,0.277864931,-0.631847554,0.8681525,-0.579847883,1.546001007
1993.02,-1.609031556,-1.145972073,-8.028419729,0.536910812,164.4306939,0.334903539,-0.512365736,0.799955,0.166664883,1.473007082
1993.03,-0.704666652,0.037731718,-5.572765246,0.140307757,164.5397127,0.230668038,-0.586540484,0.77082,-0.568123016,1.441019261
1993.04,0.344233711,1.666129947,-5.571921889,0.116514538,164.6437569,0.157694936,-0.693889337,0.6204225,-0.556004379,1.331045887
1994.01,0.266005154,-0.42188847,3.880376946,0.379032894,164.663353,0.185952188,-0.27559791,0.5684475,-0.42035612,1.244346698
1994.02,-0.28972535,0.208231487,-1.43393328,1.026694732,164.0327855,0.338021512,-0.697410768,0.52733,-1.053181921,1.219747723
1994.03,0.593317519,1.593326427,-0.258205176,-0.012079895,164.5066968,-0.053753635,-0.668923585,0.533445,0.24282139,1.211940974
1994.04,-0.948592306,-0.719486606,-0.284147223,0.478441778,164.7130181,-0.081263561,-0.191093112,0.5664875,-0.610489382,1.206070602
1995.01,0.336045826,-0.429705837,0.296627675,-0.084562882,164.7397013,0.156841655,-0.521139824,0.554675,-0.358441401,1.202070997
1995.02,0.659690485,0.865699849,4.271002088,0.818403984,164.4192697,-0.231295252,-0.593262669,0.3431125,0.535792186,1.097723004
1995.03,0.83049182,0.485372119,-0.441557384,0.376899018,164.5488757,0.053823558,-0.422488286,0.20016,0.86442831,0.926637024
1995.04,-0.403362337,0.384278004,-0.540821095,-0.311447989,165.0908399,0.070870386,-0.163249922,0.1155175,0.006707031,0.739553553
1996.01,0.391112529,0.354859113,-4.812605093,0.916930346,164.5452068,0.022728581,-0.671778639,0.114985,1.262255964,0.677356495
1996.02,0.737791597,0.661221016,4.531433496,0.273057196,164.4176736,0.017769566,-0.764738283,0.118815,-0.495500173,0.665261977
1996.03,-0.284278972,-0.335105876,3.478417123,0.315086786,164.4698841,0.122076701,-0.685990361,0.11618,-1.499477269,0.662687973
1996.04,0.951284298,0.963800934,1.294138694,0.066951265,164.7460651,0.112101322,-0.112100567,0.1198325,-0.880720676,0.652672348
1997.01,0.205941583,1.444891022,2.892748828,0.235514492,164.6839023,0.209366602,-0.209364609,0.1241225,-1.559515989,0.636400447
1997.02,0.127739379,-2.606722282,0.259897004,0.617473775,164.3276256,0.263540491,-0.263541244,0.123175,-0.420338438,0.630207381
1997.03,-1.21433655,0.591201409,0.226548689,0.009401457,163.9990284,0.220513105,-0.787624818,0.1229575,-1.084152156,0.620755683
1997.04,0.260840605,-0.576035157,0.510393135,-0.385074136,164.1238849,0.197185117,-0.102442003,0.1137825,-0.134585319,0.597186789
1998.01,-2.080510534,-0.807249647,-3.915010293,0.523435841,163.6316667,-0.193908219,-0.280697478,0.10832,-0.963210541,0.603587104
1998.02,-0.569924863,-0.401524089,-1.519859599,0.060244286,163.6135044,-0.138599684,-0.242720026,0.1090025,-0.748526865,0.584447764
1998.03,-0.005702352,0.869400002,-3.271070456,-0.065463348,163.5924189,-0.137760504,-0.149189012,0.0968175,-0.162536173,0.573236884
1998.04,0.164258144,0.288993133,-6.328284885,-0.177351109,163.7163068,0.149510045,-1.015302288,0.0573325,-1.885868471,0.535518236
