Time,Output,Consumption,Investment,Wage,Labor,Inflation,Investment_deflator,Nominal_rate,Output_Gap,Real_borrowing
1.000000,-4.412269,0.423724,-9.770696,-0.786181,-0.792326,0.783380,2.055395,1.219848,-1.107586,-0.149081
2.000000,0.399942,3.226996,-3.536905,0.717720,-4.074327,0.229465,-2.343540,1.206115,-3.979705,1.746667
3.000000,-0.182908,-0.079713,-0.125053,-0.395940,-3.820045,0.345647,-1.478734,1.112552,-5.858999,0.425095
4.000000,0.657324,1.443833,1.822994,0.273933,-4.291638,0.563922,-5.058482,1.108333,-4.510722,-0.528538
5.000000,-0.279025,2.207379,-0.250133,-1.136638,-4.147579,0.195222,1.129065,0.961358,-6.970167,-1.680618
6.000000,2.160050,-0.179433,10.107151,0.220452,-1.382286,0.773484,-4.945170,0.663681,-4.632296,-1.860243
7.000000,3.243841,2.490632,5.392407,1.030662,0.365837,0.793948,-3.181491,0.599082,-3.838469,-2.296362
8.000000,2.561787,1.628034,1.980868,2.474451,1.286463,0.725230,-1.975376,0.704149,-3.665291,-0.556877
9.000000,-1.473603,-0.331161,-5.738944,-0.180025,1.107807,1.185615,2.091681,1.075899,-4.403685,0.928915
10.000000,-1.601332,-1.002663,-2.614632,-0.824870,-0.886609,1.167819,0.919707,1.367079,-5.010133,0.619828
11.000000,0.949296,-1.059379,0.750279,0.384416,-1.681249,0.474538,1.290003,1.685761,-5.771324,0.451746
12.000000,0.893105,0.732319,0.561624,1.487185,-1.116737,0.602815,0.301858,1.967796,-5.386772,1.210685
13.000000,2.767932,1.628428,4.178724,0.734391,0.647182,0.681508,-1.219472,1.578602,-3.499280,3.732210
14.000000,0.060462,0.236132,-2.105144,0.968145,0.548544,0.539353,3.159042,1.216742,-5.321828,2.332122
15.000000,-1.853011,-0.643196,0.717857,0.413099,-1.560544,0.517931,0.783165,0.982345,-6.521637,1.479808
16.000000,0.932867,-0.004205,3.519016,-0.420310,-0.826655,0.830546,-2.210078,0.994526,-5.611755,1.048193
17.000000,-0.659862,-0.399336,-2.612909,-0.522040,-0.496407,0.671957,-0.899358,1.164854,-4.423119,-0.279092
18.000000,-1.778011,-0.940935,-0.953687,-0.784460,-1.216623,0.701180,-1.196964,1.229392,-4.619178,-1.020938
19.000000,-0.416288,0.815529,0.788472,0.739650,-2.105721,0.808565,-2.443867,1.181891,-5.644045,-0.403477
20.000000,1.404634,-0.535179,2.787354,-0.129426,-0.102189,0.894840,2.977478,1.004615,-5.544967,-1.186725
21.000000,3.381687,0.730697,5.053287,0.181006,1.609115,0.955360,0.549033,1.047577,-4.220253,-0.892922
22.000000,0.620305,-0.564347,0.317120,0.481084,2.233168,1.147676,1.823439,1.210358,-4.272873,-1.046004
23.000000,2.967452,1.337947,4.372686,1.653657,4.107423,1.205314,0.114590,1.337411,-0.902086,-0.643719
24.000000,-2.082350,-1.177006,-3.299417,-0.302687,3.000885,1.346702,0.139000,1.636661,-1.465238,-0.953762
25.000000,-3.077051,-4.778696,-1.381743,-2.126406,2.412834,1.417211,1.258556,1.894524,-2.184415,-1.874119
26.000000,-2.947815,-2.004532,-2.688298,-0.622350,-1.363185,0.957346,-1.769129,2.190579,-3.550698,-0.325354
27.000000,-0.648612,-1.285928,2.555560,-1.085486,-2.141840,0.721393,-1.464483,2.279001,-4.800813,0.475648
28.000000,1.562553,0.755977,3.644808,0.291237,0.817540,0.996640,-0.432569,2.056486,-3.536302,2.650863
29.000000,3.872934,4.301018,5.239446,1.149718,0.456820,0.439683,-1.785364,1.950000,-2.580895,2.446049
30.000000,3.371628,5.276615,4.359017,2.213186,1.452087,0.555239,-3.191823,1.746696,-3.500961,2.831068
31.000000,1.555661,5.727630,-2.221770,1.404435,0.493615,0.511600,-0.165838,1.458013,-6.231542,3.083045
32.000000,-0.104475,2.270958,1.079812,0.425557,0.566039,1.132231,-2.879947,1.377550,-7.632623,-0.101503
33.000000,1.602100,3.193281,2.383713,1.238314,-0.456053,1.005137,0.787935,1.242319,-9.843237,0.394350
34.000000,-0.027326,2.080687,3.350624,1.357146,-1.298812,1.462365,-4.579560,1.523194,-11.244722,-1.277676
35.000000,0.449838,0.311123,1.733795,0.481828,-1.882437,1.565456,-0.971078,1.969880,-14.132842,-1.698155
36.000000,0.744176,-0.115414,3.956533,0.547671,-1.914719,1.826981,-1.134457,2.187381,-14.145987,-1.078461
37.000000,0.278236,-1.476246,3.172988,-0.314095,0.612738,1.924298,0.036475,2.389323,-14.091941,-0.498362
38.000000,0.050209,0.874869,-0.931425,0.199492,0.423683,1.819754,2.369440,2.638036,-11.703009,2.172151
39.000000,0.899061,-2.220715,2.943245,0.869042,0.011613,1.405665,0.570162,2.713230,-12.218166,1.503050
40.000000,-1.808592,0.318600,-2.798542,0.777602,-2.272982,1.181705,3.714599,2.523774,-14.040836,1.888796
41.000000,1.145797,0.506586,-0.975930,0.843298,-0.192339,1.596174,2.063988,2.344464,-12.158549,1.842257
42.000000,-2.714028,-0.994243,-1.457809,0.122867,-3.224270,1.885381,-3.806783,2.414896,-11.710096,-0.470767
43.000000,-1.646801,-1.326945,-0.857307,-0.676514,-4.043061,2.136647,-1.845376,2.531896,-13.036577,0.362664
44.000000,-0.286879,-0.630917,0.919321,-0.631025,-4.249452,1.808060,-2.895557,2.566269,-11.915072,0.674221
45.000000,2.873209,0.524482,8.192369,0.426478,-3.020789,1.391241,-1.303915,2.611722,-11.811536,0.865164
46.000000,3.479179,1.651822,5.256017,1.474719,-0.013047,1.170036,0.873068,2.548606,-10.017429,1.483817
47.000000,0.690224,0.080243,4.267153,-0.053932,1.026512,1.701228,2.110367,2.342445,-9.358243,0.460065
48.000000,1.797698,2.502067,1.879806,0.435999,1.356081,1.545395,-0.877482,2.093812,-8.516466,0.070335
49.000000,2.576581,4.491367,0.441384,1.776856,0.474397,1.333641,1.118417,2.033819,-9.465958,0.373883
50.000000,1.772386,1.522048,-0.508876,1.801834,1.067357,1.269643,-1.276626,2.107930,-9.934456,1.331711
51.000000,-2.392711,-0.342806,-4.768539,0.352620,-0.954420,1.243394,1.164007,2.137296,-11.729398,-1.699278
52.000000,-0.838807,2.655228,-5.351155,0.821846,-3.179312,0.984131,-4.008773,2.047816,-10.864087,1.956785
53.000000,0.707465,2.208490,-0.230801,1.183130,-3.393818,0.299975,-0.164040,1.635558,-11.217922,3.532711
54.000000,-0.640364,0.153735,-0.310072,0.918654,-4.742291,0.352471,-1.487109,1.438315,-11.955403,3.677151
55.000000,5.885844,1.820246,13.305889,2.829480,0.024445,0.430879,0.916515,1.112543,-8.277956,4.135813
56.000000,5.547308,2.397229,10.664838,3.209040,2.929506,0.866078,-1.304931,1.015867,-7.087390,2.668884
57.000000,4.950238,1.916192,11.701625,3.070721,5.458684,1.003124,-1.744884,1.260785,-5.724967,1.398634
58.000000,1.143745,0.190416,3.768345,1.274204,5.406708,1.298856,-0.813577,1.605638,-6.730611,2.683035
59.000000,2.798860,0.188990,5.966790,2.651762,5.361069,1.345622,-2.894379,1.779270,-5.938377,1.916906
60.000000,3.369459,2.015583,5.877428,3.846247,5.602127,1.340384,-3.292773,2.141325,-5.856628,1.353333
61.000000,-0.664533,-1.744174,4.649778,2.069923,4.938992,2.035726,-3.370453,2.495888,-7.006194,-0.706471
62.000000,0.472720,0.159028,2.373147,0.488185,3.618630,2.317610,-2.522300,2.797139,-8.110652,0.770544
63.000000,2.182904,1.643517,4.651478,0.254008,3.431880,2.166663,-3.056486,3.122578,-9.033548,1.020851
64.000000,-0.263866,0.693929,-2.761871,0.310811,2.729298,2.435161,-0.004678,3.475638,-10.812317,-0.188175
65.000000,-2.120077,2.639976,-9.164338,0.290166,-0.963312,2.272513,-0.969104,3.484887,-13.237135,2.823848
66.000000,1.361014,3.800948,2.534889,0.886195,-0.730066,1.830167,-3.714928,3.243016,-12.780795,3.563571
67.000000,2.943523,0.606504,7.459042,0.943276,1.336212,1.687085,-2.981302,3.066202,-12.028402,4.333804
68.000000,2.118375,0.209500,7.814028,1.900634,2.892797,1.844647,-2.444286,2.642696,-10.877224,2.825167
69.000000,1.005831,-1.371465,7.568005,2.552831,4.162402,1.871375,0.356726,2.566802,-9.413157,1.398315
70.000000,2.593498,-0.235491,2.199147,1.402639,6.932016,1.935762,1.189779,2.606702,-6.431756,0.430881
71.000000,-0.386074,0.811741,-2.857025,1.383719,4.572248,1.364214,1.384486,2.789833,-5.561637,1.071710
72.000000,1.030426,1.644496,6.379620,1.330803,3.430447,1.082392,-3.163351,2.564196,-4.843433,2.105683
73.000000,1.872191,2.972532,1.504780,1.089372,4.698007,1.247153,-0.947956,2.382810,-4.863355,1.096436
74.000000,2.809184,3.404812,0.764694,2.190739,5.223732,1.112819,-1.908635,2.329916,-3.414526,1.374670
75.000000,0.222126,-0.898663,4.010202,2.475587,4.828912,1.259371,2.197351,2.418459,-4.822771,1.064006
76.000000,-0.658988,-0.803179,-0.847493,1.046126,2.880083,1.504348,0.241305,2.569898,-4.711839,1.194055
77.000000,-0.878995,-0.192396,0.507964,0.213824,1.126893,1.582512,-2.020243,2.748134,-5.574402,1.071954
78.000000,0.007675,0.522402,0.785243,-0.307097,0.345782,1.350073,-1.014424,2.658991,-6.893833,2.588649
79.000000,-0.951522,1.586898,-5.752707,-0.405568,-0.511660,1.420804,-1.639718,2.659453,-7.157703,3.120953
80.000000,-0.296029,0.468429,0.072771,-0.141133,-2.527568,1.234471,-4.625100,2.669080,-7.060928,2.304012
81.000000,2.634325,1.016567,8.318512,1.456658,-1.115264,0.982586,-2.517021,2.534845,-6.875872,0.726525
82.000000,0.996508,4.095649,-2.101589,1.490401,-1.058673,1.046286,1.734200,2.427602,-7.553646,0.295774
83.000000,0.039382,-0.916095,2.566611,0.212676,-0.325013,0.796856,0.857004,2.134924,-7.837368,0.448893
84.000000,-2.398338,-0.339554,-3.636666,-0.293273,-1.243042,0.779873,-0.473976,1.974631,-6.380349,0.656577
85.000000,-0.005518,-0.091094,-0.597998,0.394464,-0.501456,0.708145,-0.982208,1.795996,-4.324249,-0.606926
86.000000,1.631090,0.299404,2.585124,-0.162728,1.545052,0.743812,1.524767,1.735483,-2.301099,0.466916
87.000000,-0.599745,-1.629699,-0.692012,-0.154818,2.096838,0.966629,2.403977,1.945518,-1.445970,-0.758959
88.000000,-1.341572,0.024219,-1.891077,0.503684,-0.183592,0.449413,-1.067166,2.242298,-0.890080,-0.722025
89.000000,-1.436529,-0.587065,0.507673,0.186755,-1.705010,-0.023907,-2.250513,2.166123,-2.021611,0.767077
90.000000,2.595450,0.976176,3.742631,0.327398,0.741680,-0.203401,-2.032027,1.712672,0.659101,-0.220596
91.000000,-0.308254,0.937528,0.640742,0.221114,1.547427,0.461654,-1.743923,1.469356,0.983747,1.667356
92.000000,-0.990720,-0.719490,-1.949242,0.463868,-0.116605,0.770079,0.249682,1.433622,-0.208096,0.702632
93.000000,-0.896073,0.091725,-2.672358,-0.329498,-2.243449,0.585672,-3.398350,1.563363,-0.970891,-0.709119
94.000000,3.040803,2.831552,-0.618525,1.417550,-2.326866,-0.078355,1.626193,1.526591,-1.415014,0.803071
95.000000,2.983711,-0.090262,6.478180,0.449230,0.430698,0.003283,2.060326,1.418921,-1.260858,1.146907
96.000000,1.980979,1.341540,4.196678,0.864466,1.178097,-0.046093,-1.164850,1.241095,0.836276,2.060233
97.000000,0.921195,1.260336,0.914578,0.946362,1.993449,-0.034395,0.727432,0.935604,1.584733,3.482651
98.000000,1.334274,0.719723,6.591995,0.194724,2.729092,0.338974,-3.927302,0.998215,3.794200,2.417532
99.000000,0.383332,1.940683,-2.971908,0.418870,3.336153,0.449979,1.109406,0.943414,2.966345,2.979534
100.000000,0.969205,1.999878,-2.038833,1.161259,1.838720,0.007907,0.353162,1.146073,2.067866,2.193263
101.000000,-0.785514,-0.062221,-0.010033,0.144064,1.949716,0.253237,-3.634615,1.237995,2.346390,1.190036
102.000000,-2.318440,0.575179,-4.011476,-0.370941,0.778307,0.275351,-2.137160,1.365759,1.869350,-0.164278
103.000000,1.156651,0.725176,2.875016,1.244694,0.295622,0.342322,-1.098605,1.291934,1.601646,0.052829
104.000000,1.123846,0.157958,1.698380,0.396072,0.883713,0.459394,2.399669,1.218331,0.431295,0.298457
105.000000,-1.991436,-0.716728,-3.914443,-0.697729,-0.298770,-0.018760,1.418260,1.282740,-0.930522,-0.172674
106.000000,0.613685,1.463081,-0.363377,0.897913,-0.371922,-0.636951,-0.712351,1.275848,0.353769,1.096044
107.000000,-0.331649,-0.627195,1.195682,0.663725,1.203768,-0.028763,2.575747,1.034732,1.180832,1.891429
108.000000,-0.062724,-1.608752,2.413451,-0.467835,0.680902,0.338661,-2.036557,0.771042,2.859195,0.848180
109.000000,1.416053,1.195407,2.586516,0.227533,0.091899,0.199412,-2.689490,0.637122,1.646756,-0.556887
110.000000,1.998980,2.590635,1.868945,1.126817,0.099765,0.088659,-0.094507,0.875662,-0.031003,1.579253
111.000000,-0.593602,0.762687,-3.202255,-0.420084,-0.427418,0.168773,0.389898,0.974588,-1.405139,0.096128
112.000000,-1.907814,0.971961,-8.466558,-0.610734,-1.710058,0.042544,2.363792,0.913893,-1.487762,-0.325063
113.000000,-3.446166,-0.911201,-7.500596,-1.090536,-4.974240,-0.227576,2.410094,0.859228,-3.783798,-0.685999
114.000000,-0.394497,-1.036504,0.762558,-0.908351,-3.515573,-0.116135,-0.547884,0.633631,-2.934306,-0.105066
115.000000,-0.324738,0.549630,-0.616360,-0.654338,-2.879824,-0.181019,-1.480455,0.419462,-1.779357,-1.012354
116.000000,1.703929,0.220532,4.886154,1.504747,-2.259965,-0.252738,-2.071353,0.394526,-1.090159,-2.530693
117.000000,0.182228,-2.329096,5.521462,1.423611,-1.741552,0.061506,-3.033909,0.459779,-0.872874,-1.694936
118.000000,-0.915714,-1.167028,-0.749827,-0.469565,-0.883826,0.065858,2.059332,0.567980,0.426847,-1.501495
119.000000,-3.420285,-1.868692,-8.395712,-1.376616,-1.237817,-0.245522,3.267915,0.531576,-0.089222,-0.676230
120.000000,-5.223454,-2.236314,-7.023813,-1.674696,-4.122053,-0.501900,0.301636,0.574358,0.808524,-0.811392
121.000000,-0.477601,0.156211,-3.281128,-0.166479,-4.416091,-0.821028,-0.870277,0.422311,0.761853,0.908593
122.000000,-0.265214,0.606992,-1.392082,-0.550023,-4.618464,-0.622488,-1.940136,0.104037,1.033320,-0.091183
123.000000,0.204274,-1.849026,-1.075169,-1.862880,-3.008164,-0.275443,1.158705,-0.130187,0.755254,-0.148388
124.000000,1.516282,-1.487414,5.576602,-1.040572,-2.028795,-0.170953,-0.749301,-0.254255,2.981214,-0.530068
125.000000,1.483109,1.535213,2.666329,-0.187133,-2.029331,-0.435259,0.783621,-0.273497,1.832719,-0.324809
126.000000,0.706177,1.829525,0.409600,1.466722,-2.275050,-0.451324,2.138955,-0.097619,-0.086796,0.364898
127.000000,0.416679,1.260039,-2.634320,-0.175907,-2.600071,-0.166274,3.732832,0.252604,-1.012332,1.207293
128.000000,-1.480380,2.034761,-6.801196,-0.393359,-4.450773,-0.419771,0.729855,0.334672,-2.691900,0.068915
129.000000,-1.734514,-1.719524,-2.455968,-2.062733,-5.294600,-0.834799,-1.617595,0.061896,-4.309453,-0.194514
130.000000,1.227539,0.643070,2.141873,0.423061,-4.654938,-0.702070,-2.943177,-0.150371,-4.013494,0.624852
131.000000,0.561562,-0.897506,3.438372,0.405561,-2.871448,-0.462894,0.288673,-0.278961,-2.937056,-0.710014
132.000000,1.136517,-1.461802,5.393729,-0.667323,-0.962779,-0.188160,-2.901603,-0.262078,-0.764014,-1.130631
133.000000,-1.223653,-3.547562,2.326270,-0.806764,0.545739,0.862999,-0.197870,-0.215201,-0.073613,-0.811409
134.000000,-0.855145,-1.677660,2.049552,-0.285186,-1.507922,0.657183,-5.742409,0.374592,1.455674,-2.152492
135.000000,-1.132129,-0.539081,-1.859318,-0.846364,-3.015760,0.245089,0.719001,0.773076,-2.223683,-1.074494
136.000000,1.882259,0.106447,5.823662,0.507863,-1.687866,0.051157,-0.703261,0.942966,-3.103999,-1.190978
137.000000,1.092814,1.744682,2.234650,1.311787,-1.909661,0.492066,-1.906956,0.966972,-3.519114,-0.529391
138.000000,2.024942,2.167785,2.627713,0.853732,-1.775609,0.674277,-0.217204,0.973622,-3.880943,-0.578404
139.000000,2.273020,2.020620,4.816075,0.431045,-0.653177,1.057448,-3.235761,0.977927,-3.915885,-1.310429
140.000000,1.215632,-1.819678,8.409773,0.014656,0.281478,0.912693,-3.472798,1.229198,-3.764116,-0.128447
141.000000,0.453764,2.461867,-3.559952,-0.123192,-0.422472,0.488181,3.625209,1.448677,-5.012328,0.532945
142.000000,1.164458,2.843657,-2.414917,1.647784,0.240979,0.338258,0.344838,1.378280,-4.787383,0.174208
143.000000,1.497205,1.895478,-1.089311,1.163841,1.089013,0.482117,-2.871966,1.455431,-3.279921,-0.492592
144.000000,1.021341,2.813882,0.700910,1.143855,0.227911,0.118615,3.598609,1.313749,-4.542507,0.513543
145.000000,2.070795,-1.781341,10.796826,2.618245,0.933052,0.410915,-2.518139,1.133169,-3.693516,0.576390
146.000000,5.233129,-0.560915,13.251732,3.563056,3.172263,0.705443,-3.426660,1.027610,-2.915689,0.335086
147.000000,0.741008,1.446872,0.787865,1.557036,2.484873,0.810989,-0.771054,1.031514,-3.742911,-0.266951
148.000000,0.458475,0.606569,-1.129870,0.900188,2.057584,0.403725,1.690430,1.286251,-3.440599,1.046459
149.000000,2.895375,-0.306721,5.939492,2.555489,4.241873,0.317256,-1.285607,1.358256,-1.161809,0.810289
150.000000,1.059655,1.853795,1.299579,1.417963,4.099930,0.392484,3.158155,1.508790,-0.497193,2.134562
151.000000,-1.362072,-0.695387,-0.297452,0.996043,2.883278,0.644844,0.360445,1.380666,-2.100166,1.781018
152.000000,2.315351,-0.264436,8.147492,1.494788,4.020293,1.099413,-1.771441,1.348976,-0.264217,1.980634
153.000000,1.997987,0.280800,4.056655,1.390109,4.952171,1.056943,-0.009603,1.297979,0.042205,0.392423
154.000000,2.799347,2.728624,4.965374,2.915044,4.200631,0.309495,0.093345,1.302403,0.472622,1.708177
155.000000,1.627188,0.236688,4.832250,2.384625,5.632052,0.063439,-1.684161,1.448883,1.310318,1.758516
156.000000,1.590282,-1.383076,6.045211,1.258921,7.843097,0.137168,-0.526193,1.426540,4.527217,1.275463
157.000000,0.317607,-1.714232,3.041410,2.376965,7.936141,0.161530,-1.720799,1.528203,6.342909,0.099286
158.000000,1.025372,-1.480531,6.125612,1.019297,7.539912,0.212412,-0.356838,1.611245,7.210466,0.226821
159.000000,0.730643,-1.366900,2.839426,0.890629,7.545528,0.379620,1.018856,1.615219,7.011475,0.065135
160.000000,3.198237,2.680016,1.992846,2.318770,7.044507,-0.501182,0.107401,1.727201,8.220222,1.304243
161.000000,0.923019,3.612136,-2.511660,2.075131,7.044327,-0.338572,4.017924,1.676694,7.055280,2.638554
162.000000,-1.375247,3.380111,-6.524473,0.450862,4.362823,-0.231914,0.118257,1.519646,5.404236,1.336158
163.000000,2.342238,1.248096,1.459769,1.308449,6.420163,0.090129,-1.153139,1.323262,6.684318,1.203492
164.000000,0.567874,1.533014,-1.321870,0.592522,6.573526,0.102933,0.812545,1.083626,6.541352,0.747547
165.000000,0.650220,1.608821,-1.912823,0.248239,6.854795,0.301050,2.290851,0.950627,7.157418,0.815510
166.000000,0.873476,2.486074,-0.047000,-0.908413,6.364686,0.618875,-2.354121,1.104327,7.639982,-1.091289
167.000000,-1.036457,1.237060,-2.373128,-0.160765,4.886541,0.475486,0.188361,1.322164,4.826631,-0.897859
168.000000,1.828282,0.070120,4.573990,1.465790,5.503779,0.614596,0.091566,1.353227,5.147788,-0.426970
169.000000,0.631331,-1.934825,4.629118,0.753321,6.131035,0.882712,2.858830,1.450309,4.283301,0.038762
170.000000,-1.625457,-1.411768,1.901906,-0.048711,3.094646,0.798847,-2.279336,1.889469,3.295602,-1.947970
171.000000,1.279538,0.792379,2.492997,0.336859,2.978280,0.956967,-1.977432,2.034763,3.187134,1.466409
172.000000,1.880916,0.583222,0.914740,0.327426,3.747867,0.842646,1.756288,2.252517,3.167330,1.468702
173.000000,3.392410,2.893359,5.593361,1.314853,4.809752,0.435669,-1.954206,2.195871,5.168638,1.761961
174.000000,1.540354,1.831888,2.717298,0.921895,4.936884,0.391791,-2.271698,2.176879,5.531514,1.662227
175.000000,2.758165,0.521916,5.265600,1.914627,7.123497,0.077762,-0.503499,2.056889,6.177257,1.736164
176.000000,4.365480,1.279055,9.809245,2.979979,10.098881,0.412154,0.802420,1.875861,9.666687,1.174663
177.000000,5.258699,2.743290,8.766879,2.686272,12.246808,0.243611,0.509966,1.937088,11.608733,2.312885
178.000000,3.699368,1.524094,10.403001,3.343642,14.764075,0.703341,-1.666992,2.044542,13.163440,2.400637
179.000000,3.540551,1.591627,7.005246,2.633016,15.868006,0.836016,1.432070,2.212365,14.798005,2.773975
180.000000,2.007712,1.344323,2.877347,1.443744,16.021526,0.445061,-1.271291,2.383882,15.989580,4.424973
181.000000,1.548332,4.254206,-3.970092,2.905977,13.896885,0.027574,-0.875378,2.542313,15.676034,4.201246
182.000000,-3.069831,4.000046,-11.588650,1.257277,9.251376,0.488323,0.015578,2.599334,11.716374,5.268559
183.000000,-4.598917,2.595482,-14.360083,-0.367996,4.369660,0.125352,-1.292663,2.142422,8.906597,6.091468
184.000000,-3.102132,2.116552,-11.469403,-0.911890,1.997857,0.075336,-1.532752,1.648198,7.904846,3.665839
185.000000,0.545974,2.333553,-0.571632,-0.402511,1.766797,-0.117340,-3.273011,1.478178,7.714069,1.882030
186.000000,1.701493,0.633630,0.540491,1.066680,3.192907,-0.010662,3.134090,1.262398,6.790814,2.227718
187.000000,-0.060775,-1.428465,0.451463,0.314839,3.336272,-0.235962,1.039573,1.190707,7.031823,2.055658
188.000000,-1.728437,0.242978,-2.697941,-0.380219,2.334913,-0.266725,0.188490,1.153557,7.073431,0.623785
189.000000,-1.808898,0.549326,-5.715824,-0.515164,1.026696,-0.298244,-0.220583,0.991930,5.723949,1.846497
190.000000,-3.174451,0.046939,-8.611909,-2.163279,-0.347801,-0.150133,-1.107852,0.755921,5.024184,0.940162
191.000000,0.546325,3.551543,-2.700867,0.506202,-2.945692,-0.660845,0.397942,0.757433,3.100076,1.669326
192.000000,0.254804,0.300240,0.484363,0.718498,-3.294646,-0.728137,-5.555885,0.536997,1.083961,2.425177
193.000000,-2.351361,-2.912209,1.658554,-1.032778,-4.423215,-0.272973,-3.758774,0.435388,-1.136307,0.596277
194.000000,0.430260,-1.114737,2.456661,-0.617052,-2.805856,-0.386058,0.268388,0.320468,-1.029384,0.093269
195.000000,3.510337,0.080137,12.398378,1.174693,-0.592381,-0.404258,-5.301762,0.253666,2.178404,0.246355
196.000000,5.888574,1.377915,14.014906,3.367400,2.565496,-0.201158,-1.918196,0.274628,3.515366,0.145124
197.000000,3.226702,5.540635,1.191218,2.554713,4.000443,-0.371449,-0.632362,0.417842,3.621948,1.792998
198.000000,2.398770,1.088147,3.627464,2.175557,6.361539,0.141566,0.059840,0.547162,3.981992,1.562331
199.000000,-1.146907,-0.253575,-2.960018,0.319031,4.685173,0.743958,1.629810,0.884787,3.447497,0.470752
200.000000,-0.793865,-0.160459,-0.877619,0.468311,3.193970,0.589649,-2.645615,0.777036,2.111245,0.879922
